GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-debitcard,com.bank.msdebitcard.event,DebitCardEventProducer,32,4,0,0,9,1,1,1,1,1
ms-debitcard,com.bank.msdebitcard.service,DebitCardService,68,69,11,7,14,12,14,5,6,4
ms-debitcard,com.bank.msdebitcard.model,DebitCard,0,15,0,0,0,6,0,1,0,1
ms-debitcard,com.bank.msdebitcard.model,DebitCardMovement,0,12,0,0,0,5,0,1,0,1
ms-debitcard,com.bank.msdebitcard.controller,DebitCardController,128,0,2,0,29,0,11,0,10,0
ms-debitcard,com.bank.msdebitcard,MsDebitCardApplication,8,0,0,0,3,0,2,0,2,0
ms-debitcard,com.bank.msdebitcard.dto,PaymentRequest,3,0,0,0,1,0,1,0,1,0
ms-debitcard,com.bank.msdebitcard.dto,DebitCardResponse,3,0,0,0,1,0,1,0,1,0
ms-debitcard,com.bank.msdebitcard.dto,DebitCardRequest,3,0,0,0,1,0,1,0,1,0
